epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,5006.02,0.59221,0.95016,1.18153,0.93565,0.96198,0.97652,0.86435,0.54459,0.385,1.24329,0.00023764,0.00023764,0.00023764
43,5123.39,0.5853,0.92787,1.17857,0.91704,0.97163,0.98062,0.86682,0.51592,0.38843,1.23021,0.00023368,0.00023368,0.00023368
44,5240.84,0.58056,0.90111,1.16723,0.93232,0.95131,0.97552,0.8648,0.51141,0.39923,1.21852,0.00022972,0.00022972,0.00022972
45,5359.65,0.57445,0.88506,1.16443,0.94917,0.95172,0.9782,0.8634,0.5317,0.39315,1.22824,0.00022576,0.00022576,0.00022576
46,5478.86,0.57904,0.87621,1.17337,0.95269,0.97099,0.98449,0.87273,0.51084,0.37007,1.20074,0.0002218,0.0002218,0.0002218
47,5598.08,0.57524,0.87773,1.16387,0.9435,0.9709,0.97911,0.86215,0.52584,0.36395,1.22045,0.00021784,0.00021784,0.00021784
48,5715.39,0.56784,0.86235,1.16302,0.96571,0.9679,0.98627,0.871,0.52231,0.3619,1.21908,0.00021388,0.00021388,0.00021388
49,5832.9,0.56443,0.84563,1.16052,0.94073,0.97693,0.98313,0.87021,0.51853,0.3585,1.21501,0.00020992,0.00020992,0.00020992
50,5950.49,0.56609,0.85203,1.1577,0.95163,0.97311,0.98304,0.8711,0.53076,0.37302,1.22487,0.00020596,0.00020596,0.00020596
51,6069.29,0.55945,0.83023,1.15971,0.96094,0.96864,0.98508,0.87551,0.51172,0.36083,1.2061,0.000202,0.000202,0.000202
52,6188.23,0.55714,0.8111,1.1517,0.94651,0.97135,0.98459,0.87661,0.50167,0.33174,1.19991,0.00019804,0.00019804,0.00019804
53,6307.02,0.5595,0.82164,1.15876,0.96781,0.96931,0.984,0.8716,0.51568,0.33554,1.2105,0.00019408,0.00019408,0.00019408
54,6424.32,0.55664,0.80311,1.15124,0.9664,0.96046,0.98188,0.87826,0.51377,0.34644,1.21218,0.00019012,0.00019012,0.00019012
55,6543.55,0.55837,0.79983,1.15471,0.96192,0.97217,0.98181,0.87161,0.51045,0.33346,1.20582,0.00018616,0.00018616,0.00018616
56,6662.57,0.55525,0.78042,1.14785,0.96927,0.96391,0.9857,0.87431,0.51515,0.35273,1.20605,0.0001822,0.0001822,0.0001822
57,6781.61,0.55509,0.78312,1.14952,0.96445,0.97616,0.98646,0.87666,0.50819,0.32604,1.20277,0.00017824,0.00017824,0.00017824
58,6901.01,0.5493,0.7721,1.14582,0.96529,0.97524,0.98626,0.87763,0.5059,0.32848,1.19448,0.00017428,0.00017428,0.00017428
59,7020.41,0.5437,0.76091,1.14125,0.96795,0.97414,0.98688,0.8809,0.50245,0.33552,1.19066,0.00017032,0.00017032,0.00017032
60,7139.5,0.54436,0.76615,1.1453,0.96619,0.98572,0.98853,0.87865,0.50372,0.31392,1.19413,0.00016636,0.00016636,0.00016636
61,7258.6,0.54277,0.748,1.14444,0.96713,0.97241,0.98608,0.88199,0.49526,0.30988,1.18783,0.0001624,0.0001624,0.0001624
62,7377.95,0.53726,0.74511,1.13916,0.97257,0.98271,0.98693,0.8796,0.4994,0.32941,1.18644,0.00015844,0.00015844,0.00015844
63,7495.25,0.53845,0.73838,1.13798,0.9654,0.97919,0.98732,0.88198,0.49227,0.31439,1.18213,0.00015448,0.00015448,0.00015448
64,7614.17,0.54138,0.72416,1.13932,0.97149,0.98413,0.98693,0.87574,0.51214,0.3088,1.19983,0.00015052,0.00015052,0.00015052
65,7731.53,0.53625,0.72042,1.13301,0.96002,0.98165,0.98455,0.8818,0.49501,0.3091,1.17899,0.00014656,0.00014656,0.00014656
66,7848.84,0.53404,0.71417,1.13775,0.97649,0.98013,0.98724,0.88588,0.49438,0.31054,1.1786,0.0001426,0.0001426,0.0001426
67,7966.2,0.53053,0.71201,1.12937,0.95749,0.98126,0.98776,0.88525,0.49304,0.30643,1.17748,0.00013864,0.00013864,0.00013864
68,8083.55,0.53287,0.70319,1.13303,0.9714,0.97564,0.98557,0.88322,0.48765,0.30272,1.17412,0.00013468,0.00013468,0.00013468
