epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,432.739,0.71028,0.44676,1.01012,0.98955,0.99608,0.995,0.83527,0.68814,0.4329,1.01141,0.00073025,0.00073025,0.00073025
44,442.26,0.68096,0.4358,0.99319,0.99363,1,0.995,0.84598,0.66801,0.39638,0.99468,0.000717875,0.000717875,0.000717875
45,452.702,0.72397,0.44344,1.02546,0.99141,0.99812,0.995,0.83159,0.67579,0.39602,0.99104,0.0007055,0.0007055,0.0007055
46,463.16,0.71612,0.44649,1.00558,0.99541,0.9993,0.995,0.84526,0.66344,0.39381,0.9931,0.000693125,0.000693125,0.000693125
47,473.433,0.69996,0.44396,1.0223,0.99707,0.99288,0.995,0.83575,0.65049,0.39116,0.98251,0.00068075,0.00068075,0.00068075
48,483.801,0.68411,0.42326,0.99746,0.99682,0.99004,0.995,0.8395,0.67185,0.37466,0.99971,0.000668375,0.000668375,0.000668375
49,494.367,0.69273,0.41418,0.98827,0.99723,0.98958,0.995,0.83692,0.65942,0.38525,0.97917,0.000656,0.000656,0.000656
50,504.572,0.63744,0.4016,0.97205,0.99634,0.98951,0.995,0.83558,0.6822,0.39162,0.99042,0.000643625,0.000643625,0.000643625
51,514.341,0.67008,0.40289,0.99383,0.99736,0.98842,0.995,0.83466,0.69134,0.3698,0.99015,0.00063125,0.00063125,0.00063125
52,524.075,0.65176,0.3992,0.9736,0.99274,1,0.995,0.84673,0.6687,0.36257,0.98565,0.000618875,0.000618875,0.000618875
53,533.711,0.66382,0.40476,0.98309,0.99494,1,0.995,0.84386,0.65447,0.37254,0.98123,0.0006065,0.0006065,0.0006065
54,543.373,0.68466,0.41567,1.0061,0.99033,0.99747,0.995,0.84257,0.67195,0.3735,1.00658,0.000594125,0.000594125,0.000594125
55,553.153,0.66924,0.37904,0.99456,0.9977,0.98866,0.995,0.83814,0.67441,0.36041,0.99494,0.00058175,0.00058175,0.00058175
56,562.792,0.68197,0.39732,1.00318,0.99125,0.99784,0.995,0.84012,0.67865,0.39039,0.9905,0.000569375,0.000569375,0.000569375
57,572.575,0.66648,0.3879,1.01216,0.99186,0.9981,0.995,0.85384,0.62667,0.34655,0.97675,0.000557,0.000557,0.000557
58,582.93,0.65375,0.3888,0.98576,0.99394,0.9982,0.995,0.84077,0.62789,0.3701,0.96859,0.000544625,0.000544625,0.000544625
59,592.945,0.6531,0.38117,0.98583,0.99525,0.99876,0.995,0.84015,0.62934,0.35525,0.96332,0.00053225,0.00053225,0.00053225
60,603.594,0.66294,0.38484,0.99166,0.99482,0.99807,0.995,0.84495,0.64166,0.3295,0.97678,0.000519875,0.000519875,0.000519875
61,613.812,0.65014,0.40452,0.99018,0.99666,1,0.995,0.8457,0.62911,0.33758,0.96662,0.0005075,0.0005075,0.0005075
62,624.312,0.60945,0.36679,0.96875,0.99449,1,0.995,0.84104,0.65713,0.34683,0.99465,0.000495125,0.000495125,0.000495125
63,635.172,0.64414,0.36704,0.98524,0.99606,1,0.995,0.84946,0.65578,0.32788,0.99741,0.00048275,0.00048275,0.00048275
64,645.506,0.6461,0.36818,0.98367,0.99752,0.98924,0.995,0.84848,0.6323,0.33124,0.9766,0.000470375,0.000470375,0.000470375
65,655.327,0.62776,0.35425,0.98112,0.99696,0.99078,0.995,0.85061,0.62822,0.33401,0.96801,0.000458,0.000458,0.000458
66,665.271,0.63618,0.37348,0.97247,0.99756,0.98883,0.995,0.84083,0.65812,0.32629,1.00641,0.000445625,0.000445625,0.000445625
67,675.195,0.61475,0.35671,0.97847,0.99672,0.98846,0.995,0.84625,0.64852,0.32223,0.99002,0.00043325,0.00043325,0.00043325
68,685.443,0.66188,0.36951,1.01427,0.99588,0.98772,0.995,0.85089,0.63028,0.31817,0.97411,0.000420875,0.000420875,0.000420875
